"Vendor","Model","Attributes","Value"
"adviser","32/60","CACH",256
"adviser","32/60","CHMIN",16
"adviser","32/60","CHMAX",128
"adviser","32/60","PRP",198
"adviser","32/60","ERP",199
"amdahl","470v/7","CACH",32
"amdahl","470v/7","CHMIN",8
"amdahl","470v/7","CHMAX",32
"amdahl","470v/7","PRP",269
"amdahl","470v/7","ERP",253
"amdahl","470v/7a","CACH",32
"amdahl","470v/7a","CHMIN",8
"amdahl","470v/7a","CHMAX",32
"amdahl","470v/7a","PRP",220
"amdahl","470v/7a","ERP",253
"amdahl","470v/7b","CACH",32
"amdahl","470v/7b","CHMIN",8
"amdahl","470v/7b","CHMAX",32
"amdahl","470v/7b","PRP",172
"amdahl","470v/7b","ERP",253
"amdahl","470v/7c","CACH",32
"amdahl","470v/7c","CHMIN",8
"amdahl","470v/7c","CHMAX",16
"amdahl","470v/7c","PRP",132
"amdahl","470v/7c","ERP",132
"amdahl","470v/b","CACH",64
"amdahl","470v/b","CHMIN",8
"amdahl","470v/b","CHMAX",32
"amdahl","470v/b","PRP",318
"amdahl","470v/b","ERP",290
"amdahl","580-5840","CACH",64
"amdahl","580-5840","CHMIN",16
"amdahl","580-5840","CHMAX",32
"amdahl","580-5840","PRP",367
"amdahl","580-5840","ERP",381
"amdahl","580-5850","CACH",64
"amdahl","580-5850","CHMIN",16
"amdahl","580-5850","CHMAX",32
"amdahl","580-5850","PRP",489
"amdahl","580-5850","ERP",381
"amdahl","580-5860","CACH",64
"amdahl","580-5860","CHMIN",16
"amdahl","580-5860","CHMAX",32
"amdahl","580-5860","PRP",636
"amdahl","580-5860","ERP",749
"amdahl","580-5880","CACH",128
"amdahl","580-5880","CHMIN",32
"amdahl","580-5880","CHMAX",64
"amdahl","580-5880","PRP",1144
"amdahl","580-5880","ERP",1238
"apollo","dn320","CACH",0
"apollo","dn320","CHMIN",1
"apollo","dn320","CHMAX",2
"apollo","dn320","PRP",38
"apollo","dn320","ERP",23
"apollo","dn420","CACH",4
"apollo","dn420","CHMIN",1
"apollo","dn420","CHMAX",6
"apollo","dn420","PRP",40
