"Vendor","Model","MYCT","MMIN_MMAX"
"adviser","32/60",125,"256-6000"
"amdahl","470v/7",29,"8000-32000"
"amdahl","470v/7a",29,"8000-32000"
"amdahl","470v/7b",29,"8000-32000"
"amdahl","470v/7c",29,"8000-16000"
"amdahl","470v/b",26,"8000-32000"
"amdahl","580-5840",23,"16000-32000"
"amdahl","580-5850",23,"16000-32000"
"amdahl","580-5860",23,"16000-64000"
"amdahl","580-5880",23,"32000-64000"
"apollo","dn320",400,"1000-3000"
"apollo","dn420",400,"512-3500"
"basf","7/65",60,"2000-8000"
"basf","7/68",50,"4000-16000"
"bti","5000",350,"64-64"
"bti","8000",200,"512-16000"
"burroughs","b1955",167,"524-2000"
"burroughs","b2900",143,"512-5000"
"burroughs","b2925",143,"1000-2000"
"burroughs","b4955",110,"5000-5000"
"burroughs","b5900",143,"1500-6300"
"burroughs","b5920",143,"3100-6200"
"burroughs","b6900",143,"2300-6200"
"burroughs","b6925",110,"3100-6200"
"c.r.d","68/10-80",320,"128-6000"
"c.r.d","universe:2203t",320,"512-2000"
"c.r.d","universe:68",320,"256-6000"
"c.r.d","universe:68/05",320,"256-3000"
"c.r.d","universe:68/137",320,"512-5000"
"c.r.d","universe:68/37",320,"256-5000"
"cdc","cyber:170/750",25,"1310-2620"
"cdc","cyber:170/760",25,"1310-2620"
"cdc","cyber:170/815",50,"2620-10480"
"cdc","cyber:170/825",50,"2620-10480"
"cdc","cyber:170/835",56,"5240-20970"
"cdc","cyber:170/845",64,"5240-20970"
"cdc","omega:480-i",50,"500-2000"
"cdc","omega:480-ii",50,"1000-4000"
"cdc","omega:480-iii",50,"2000-8000"
"cambex","1636-1",50,"1000-4000"
"cambex","1636-10",50,"1000-8000"
"cambex","1641-1",50,"2000-16000"
"cambex","1641-11",50,"2000-16000"
"cambex","1651-1",50,"2000-16000"
"dec","decsys:10:1091",133,"1000-12000"
"dec","decsys:20:2060",133,"1000-8000"
"dec","microvax-1",810,"512-512"
"dec","vax:11/730",810,"1000-5000"
"dec","vax:11/750",320,"512-8000"
"dec","vax:11/780",200,"512-8000"
"dg","eclipse:c/350",700,"384-8000"
"dg","eclipse:m/600",700,"256-2000"
"dg","eclipse:mv/10000",140,"1000-16000"
"dg","eclipse:mv/4000",200,"1000-8000"
"dg","eclipse:mv/6000",110,"1000-4000"
"dg","eclipse:mv/8000",110,"1000-12000"
"dg","eclipse:mv/8000-ii",220,"1000-8000"
"formation","f4000/100",800,"256-8000"
"formation","f4000/200",800,"256-8000"
"formation","f4000/200ap",800,"256-8000"
"formation","f4000/300",800,"256-8000"
"formation","f4000/300ap",800,"256-8000"
"four-phase","2000/260",125,"512-1000"
"gould","concept:32/8705",75,"2000-8000"
"gould","concept:32/8750",75,"2000-16000"
"gould","concept:32/8780",75,"2000-16000"
"hp","3000/30",90,"256-1000"
"hp","3000/40",105,"256-2000"
"hp","3000/44",105,"1000-4000"
"hp","3000/48",105,"2000-4000"
"hp","3000/64",75,"2000-8000"
"hp","3000/88",75,"3000-8000"
"hp","3000/iii",175,"256-2000"
"harris","100",300,"768-3000"
"harris","300",300,"768-3000"
"harris","500",300,"768-12000"
"harris","600",300,"768-4500"
"harris","700",300,"384-12000"
"harris","80",300,"192-768"
"harris","800",180,"768-12000"
"honeywell","dps:6/35",330,"1000-3000"
"honeywell","dps:6/92",300,"1000-4000"
"honeywell","dps:6/96",300,"1000-16000"
"honeywell","dps:7/35",330,"1000-2000"
"honeywell","dps:7/45",330,"1000-4000"
"honeywell","dps:7/55",140,"2000-4000"
"honeywell","dps:7/65",140,"2000-4000"
"honeywell","dps:8/44",140,"2000-4000"
"honeywell","dps:8/49",140,"2000-32000"
"honeywell","dps:8/50",140,"2000-8000"
"honeywell","dps:8/52",140,"2000-32000"
"honeywell","dps:8/62",140,"2000-32000"
"honeywell","dps:8/20",140,"2000-4000"
"ibm","3033:s",57,"4000-16000"
"ibm","3033:u",57,"4000-24000"
"ibm","3081",26,"16000-32000"
"ibm","3081:d",26,"16000-32000"
"ibm","3083:b",26,"8000-32000"
"ibm","3083:e",26,"8000-16000"
"ibm","370/125-2",480,"96-512"
"ibm","370/148",203,"1000-2000"
"ibm","370/158-3",115,"512-6000"
"ibm","38/3",1100,"512-1500"
"ibm","38/4",1100,"768-2000"
"ibm","38/5",600,"768-2000"
"ibm","38/7",400,"2000-4000"
"ibm","38/8",400,"4000-8000"
"ibm","4321",900,"1000-1000"
"ibm","4331-1",900,"512-1000"
"ibm","4331-11",900,"1000-4000"
"ibm","4331-2",900,"1000-4000"
"ibm","4341",900,"2000-4000"
"ibm","4341-1",225,"2000-4000"
"ibm","4341-10",225,"2000-4000"
"ibm","4341-11",180,"2000-8000"
"ibm","4341-12",185,"2000-16000"
"ibm","4341-2",180,"2000-16000"
"ibm","4341-9",225,"1000-4000"
"ibm","4361-4",25,"2000-12000"
"ibm","4361-5",25,"2000-12000"
"ibm","4381-1",17,"4000-16000"
"ibm","4381-2",17,"4000-16000"
"ibm","8130-a",1500,"768-1000"
"ibm","8130-b",1500,"768-2000"
"ibm","8140",800,"768-2000"
"ipl","4436",50,"2000-4000"
"ipl","4443",50,"2000-8000"
"ipl","4445",50,"2000-8000"
"ipl","4446",50,"2000-16000"
"ipl","4460",50,"2000-16000"
"ipl","4480",50,"8000-16000"
"magnuson","m80/30",100,"1000-8000"
"magnuson","m80/31",100,"1000-8000"
"magnuson","m80/32",100,"1000-8000"
"magnuson","m80/42",50,"2000-16000"
"magnuson","m80/43",50,"2000-16000"
"magnuson","m80/44",50,"2000-16000"
"microdata","seq.ms/3200",150,"512-4000"
"nas","as/3000",115,"2000-8000"
"nas","as/3000-n",115,"2000-4000"
"nas","as/5000",92,"2000-8000"
"nas","as/5000-e",92,"2000-8000"
"nas","as/5000-n",92,"2000-8000"
"nas","as/6130",75,"4000-16000"
"nas","as/6150",60,"4000-16000"
"nas","as/6620",60,"2000-16000"
"nas","as/6630",60,"4000-16000"
"nas","as/6650",50,"4000-16000"
"nas","as/7000",72,"4000-16000"
"nas","as/7000-n",72,"2000-8000"
"nas","as/8040",40,"8000-16000"
"nas","as/8050",40,"8000-32000"
"nas","as/8060",35,"8000-32000"
"nas","as/9000-dpc",38,"16000-32000"
"nas","as/9000-n",48,"4000-24000"
"nas","as/9040",38,"8000-32000"
"nas","as/9060",30,"16000-32000"
"ncr","v8535:ii",112,"1000-1000"
"ncr","v8545:ii",84,"1000-2000"
"ncr","v8555:ii",56,"1000-4000"
"ncr","v8565:ii",56,"2000-6000"
"ncr","v8565:ii-e",56,"2000-8000"
"ncr","v8575:ii",56,"4000-8000"
"ncr","v8585:ii",56,"4000-12000"
"ncr","v8595:ii",56,"4000-16000"
"ncr","v8635",38,"4000-8000"
"ncr","v8650",38,"4000-8000"
"ncr","v8655",38,"8000-16000"
"ncr","v8665",38,"8000-24000"
"ncr","v8670",38,"4000-16000"
"nixdorf","8890/30",200,"1000-2000"
"nixdorf","8890/50",200,"1000-4000"
"nixdorf","8890/70",200,"2000-8000"
"perkin-elmer","3205",250,"512-4000"
"perkin-elmer","3210",250,"512-4000"
"perkin-elmer","3230",250,"1000-16000"
"prime","50-2250",160,"512-4000"
"prime","50-250-ii",160,"512-2000"
"prime","50-550-ii",160,"1000-4000"
"prime","50-750-ii",160,"1000-8000"
"prime","50-850-ii",160,"2000-8000"
"siemens","7.521",240,"512-1000"
"siemens","7.531",240,"512-2000"
"siemens","7.536",105,"2000-4000"
"siemens","7.541",105,"2000-6000"
"siemens","7.551",105,"2000-8000"
"siemens","7.561",52,"4000-16000"
"siemens","7.865-2",70,"4000-12000"
"siemens","7.870-2",59,"4000-12000"
"siemens","7.872-2",59,"8000-16000"
"siemens","7.875-2",26,"8000-24000"
"siemens","7.880-2",26,"8000-32000"
"siemens","7.881-2",26,"8000-32000"
"sperry","1100/61-h1",116,"2000-8000"
"sperry","1100/81",50,"2000-32000"
"sperry","1100/82",50,"2000-32000"
"sperry","1100/83",50,"2000-32000"
"sperry","1100/84",50,"4000-32000"
"sperry","1100/93",30,"8000-64000"
"sperry","1100/94",30,"8000-64000"
"sperry","80/3",180,"262-4000"
"sperry","80/4",180,"512-4000"
"sperry","80/5",180,"262-4000"
"sperry","80/6",180,"512-4000"
"sperry","80/8",124,"1000-8000"
"sperry","90/80-model-3",98,"1000-8000"
"sratus","32",125,"2000-8000"
"wang","vs-100",480,"512-8000"
"wang","vs-90",480,"1000-4000"
